title,description,link,duration,updated
A Tour of Gemini Code Assist Standard and Enterprise for Developers in Google Cloud Shell Editor,"In this codelab, you’ll use Gemini Code Assist, an AI-powered collaborator in Google Cloud. You’ll get familiar with how you can use Gemini Chat and inline code assistance to generate code, understand code and other AI assisted coding tasks.",https://codelabs.developers.google.com/codelabs/cloud-developer-duetai?hl=en,50 minutes,"Updated February 25, 2025"
Access files in Cloud Storage with the Spring Resource abstraction,Learn to access files in Cloud Storage with the Spring Resource abstraction.,https://codelabs.developers.google.com/codelabs/spring-cloud-gcp-gcs?hl=en,13 minutes,"Updated April 21, 2023"
Access Gemini 3 Pro chat using python sdk via Private Service Connect endpoint,Access Gemini 3 Pro from a VM via python sdk and PSC endpoint,https://codelabs.developers.google.com/codelabs/terraform-python-vertexai-psc?hl=en,,"Updated November 25, 2025"
Access Google APIs from on-premises hosts using IPv6 addresses,In this codelab you’ll learn how configure and validate IPv6 access to Google APIs from on-premises hosts,https://codelabs.developers.google.com/codelabs/ipv6-googleapis-on-prem?hl=en,41 minutes,"Updated March 7, 2023"
Accessibility in Jetpack Compose,"In this codelab, you’ll learn how to make your Compose app more accessible. See how to increase touch targets, add content descriptions, click labels, custom actions, and more.",https://developer.android.com/codelabs/jetpack-compose-accessibility?hl=en,39 minutes,"Updated September 24, 2024"
Accessing multi-regional MongoDB Atlas with Private Service Connect,In this codelab you’ll learn how to configure and validate Private Service Connect access to MongoDB with global access.,https://codelabs.developers.google.com/codelabs/psc-mongo-globalaccess?hl=en,1 hour 32 minutes,"Updated April 18, 2023"
Activity Recognition Transition API Codelab,Learn how to use Activity Recognition Transition Api to build powerful contextual features in your app,https://developer.android.com/codelabs/activity-recognition-transition?hl=en,31 minutes,"Updated September 30, 2023"
Adaptive apps,"In this codelab, you’ll learn how to adapt your app to run on multiple devices and form factors.",https://developer.android.com/codelabs/codelab-adaptive-apps?hl=en,56 minutes,"Updated June 25, 2025"
Adaptive Apps in Flutter,"In this codelab, you’ll construct a Flutter app that adapts to all six platforms that Flutter supports - Android, iOS, the web, Windows, macOS, and Linux.",https://codelabs.developers.google.com/codelabs/flutter-adaptive-app?hl=en,1 hour,"Updated September 12, 2025"
Add a Google map to a React app,"In this codelab, you learn everything that you need to get started with the vis.gl/react-google-map library for the Google Maps JavaScript API, which lets you add a Google map to a React app. You learn how to get set up, load the Maps JavaScript API,",https://developers.google.com/codelabs/maps-platform/maps-platform-101-react-js?hl=en,42 minutes,"Updated November 9, 2024"
